asset_id,t01_type
58957.jpg,1.0
193641.jpg,1.0
55934.jpg,0.0
158501.jpg,1.0
110939.jpg,0.0
249897.jpg,0.0
71801.jpg,0.0
87614.jpg,1.0
113304.jpg,0.0
47197.jpg,1.0
187749.jpg,0.0
24186.jpg,0.0
162781.jpg,0.0
154143.jpg,0.0
185686.jpg,0.0
140163.jpg,0.0
170372.jpg,1.0
12450.jpg,0.0
103322.jpg,0.0
125583.jpg,0.0
31225.jpg,0.0
216623.jpg,0.0
65173.jpg,1.0
238289.jpg,0.0
144069.jpg,1.0
97133.jpg,0.0
233063.jpg,1.0
142687.jpg,0.0
229075.jpg,0.0
144365.jpg,0.0
7254.jpg,0.0
57370.jpg,0.0
140660.jpg,0.0
178875.jpg,1.0
98509.jpg,0.0
70250.jpg,0.0
282184.jpg,0.0
70604.jpg,1.0
128598.jpg,0.0
36705.jpg,1.0
100064.jpg,1.0
41195.jpg,0.0
192974.jpg,1.0
189354.jpg,0.0
238301.jpg,0.0
142304.jpg,0.0
99663.jpg,0.0
84505.jpg,0.0
21012.jpg,0.0
7514.jpg,0.0
11401.jpg,0.0
68757.jpg,0.0
176479.jpg,0.0
167766.jpg,0.0
192706.jpg,0.0
105616.jpg,1.0
27445.jpg,0.0
149446.jpg,0.0
207422.jpg,1.0
225192.jpg,0.0
156181.jpg,0.0
211367.jpg,0.0
69541.jpg,0.0
177979.jpg,0.0
83396.jpg,0.0
43818.jpg,1.0
125290.jpg,0.0
88972.jpg,0.0
139181.jpg,1.0
183905.jpg,1.0
203838.jpg,0.0
143012.jpg,0.0
233088.jpg,0.0
93683.jpg,1.0
76054.jpg,0.0
83385.jpg,1.0
155034.jpg,0.0
103622.jpg,0.0
1596.jpg,0.0
230592.jpg,0.0
287217.jpg,1.0
36981.jpg,0.0
176940.jpg,1.0
18331.jpg,1.0
206127.jpg,0.0
244813.jpg,1.0
151792.jpg,1.0
189159.jpg,0.0
97141.jpg,1.0
150128.jpg,0.0
163363.jpg,0.0
87294.jpg,1.0
96081.jpg,0.0
80825.jpg,0.0
231661.jpg,1.0
87080.jpg,0.0
67866.jpg,0.0
177115.jpg,0.0
189350.jpg,1.0
231653.jpg,0.0
152414.jpg,0.0
9328.jpg,0.0
40486.jpg,0.0
157533.jpg,0.0
126347.jpg,0.0
69050.jpg,1.0
226180.jpg,0.0
205445.jpg,0.0
134649.jpg,0.0
137506.jpg,1.0
37026.jpg,0.0
138432.jpg,0.0
70197.jpg,0.0
139134.jpg,0.0
